,Kcalories,Glucides,Protéines,Lipides
chou-cru,25,5.8,1.28,0.1
chou-rouge-cuit,29,6.94,1.51,0.09
macedoine-de-legumes-franprix,138,5.5,2.5,11
legumes-haricot-beurre-super-u,39,3,2,1.1
soupe-ligne-knorr,20,3.4,0.9,0.4
courgette-en-rondelles-carrefour,19,1.7,1.8,0
v8-low-sodium-campbells,22.4359,4.4872,0.641,0
petit-pois-carotte-leclerc,50,7,2.8,0
mini-courgettes,21,3.11,2.71,0.4
courgettes-cuites,15,2.69,1.14,0.36
courgettes-crues,17,3.11,1.21,0.32
patate-douce-cuite,114,26.99,1.49,0.14
patate-douce-crue-17731,118,27.88,1.53,0.17
pois-patate,38,8.82,0.72,0.09
chou-caraibes,98,23.63,1.46,0.4
chicoree-witloof,17,4,0.9,0.1
cresson,11,1.29,2.3,0.1
macedoine-de-legumes-cuits,60,13.09,2.86,0.15
fanes-de-navets-crues,32,7.13,1.5,0.3
navets-cuits,22,5.06,0.71,0.08
navets-crus,28,6.43,0.9,0.1
fanes-de-navets-cuites,20,4.36,1.14,0.23
fougere-arborescente-cuite,40,10.78,0.29,0.07
compotee-de-tomates,79,13.05,1.96,2.68
tomate-cuite,18,4.01,0.95,0.11
tomates-sechees,258,55.76,14.11,2.97
tomate-jaune,15,2.98,0.98,0.26
tomate-verte,23,5.1,1.2,0.2
tomate-orange,16,3.18,1.16,0.19
tomatilles,32,5.84,0.96,1.02
taro-cuit,142,34.6,0.52,0.11
feuilles-de-taro-cuites,24,3.89,2.72,0.41
agar-agar,26,6.75,0.54,0.03
algue-nori,35,5.11,5.81,0.28
algue-sechee,259,46.24,15.34,1.39
aubergine-crue,25,5.88,0.98,0.18
aubergine-cuite,33,8.14,0.83,0.23
bette-crue,19,3.74,1.8,0.2
bette-cuite,20,4.13,1.88,0.08
cactus-nopal-cru,16,3.33,1.32,0.09
cactus-nopal-cuit,15,3.28,1.35,0.05
cardon-cru,17,4.07,0.7,0.1
cardon-cuit,20,4.74,0.76,0.11
carottes-crues,41,9.58,0.93,0.24
carottes-cuites,35,8.22,0.76,0.18
celeri-rave-cru,42,9.2,1.5,0.3
celeri-rave-cuit,27,5.9,0.96,0.19
celeri-cru,16,2.97,0.69,0.17
celeri-cuit,18,4,0.83,0.16
chenopode-blanc-cru,47,6.96,4.21,0.28
chenopode-blanc-cuit,32,5,3.2,0.7
chou-cavalier-cru,32,5.42,3.02,0.61
chou-cavalier-cuit,33,5.65,2.71,0.72
chou-de-savoie-cru,27,6.1,2,0.1
chou-de-savoie-cuit,24,5.41,1.8,0.09
chou-frise-decosse-cru,42,8.32,2.8,0.6
chou-frise-decosse-cuit,28,5.62,1.9,0.41
chou-frise-cru,49,8.75,4.28,0.93
chou-frise-cuit,28,5.63,1.9,0.4
chou-pak-choi-cuit,12,1.78,1.56,0.16
chou-pak-hoi-cru,13,2.18,1.5,0.2
chou-pe-tsai-cru,16,3.23,1.2,0.2
chou-pe-tsai-cuit,14,2.41,1.5,0.17
chou-romanesco-cru,31,6.09,2.95,0.3
chou-romanesco-cuit,32,6.28,3.04,0.31
chou-rouge-cru,31,7.37,1.43,0.16
chou-fleur-cru,25,4.97,1.92,0.28
chou-fleur-cuit,23,4.11,1.84,0.45
chou-puant,19,3.14,2.6,0.2
chou-rave-cru,27,6.2,1.7,0.1
chou-rave-cuit,29,6.69,1.8,0.11
chrysantheme-cru,24,3.02,3.36,0.56
chrysantheme-cuit,20,4.31,1.64,0.09
citronnelle,99,25.31,1.82,0.49
citrouille-crue,26,6.5,1,0.1
citrouille-cuite,18,4.31,0.72,0.07
concombre,15,3.63,0.65,0.11
concombre-pele,12,2.16,0.59,0.16
cornichons-aigres,11,2.26,0.33,0.2
cornichons-chow-chow,121,26.64,1.5,0.9
cornichons-doux,91,21.15,0.58,0.41
cornichons-marines-a-laneth,12,2.59,0.6,0.14
courge-butternut-crue,45,11.69,1,0.1
courge-butternut-cuite,40,10.49,0.9,0.09
courge-crookneck-crue,19,3.88,1.01,0.27
courge-crookneck-cuite,19,3.79,1.04,0.39
courge-dete-crue,16,3.35,1.21,0.18
courge-dete-cuite,20,4.31,0.91,0.31
courge-dhiver-crue,34,8.59,0.95,0.13
courge-dhiver-cuite,37,8.85,0.89,0.35
courge-hubbard-crue,40,8.7,2,0.5
courge-hubbard-cuite,30,6.46,1.48,0.37
courge-musquee-cuite,16,3.22,0.31,0.15
courge-poivree-crue,40,10.42,0.8,0.1
courge-poivree-cuite,56,14.58,1.12,0.14
courge-spaghetti-crue,31,6.91,0.64,0.57
courge-spaghetti-cuite,27,6.46,0.66,0.26
echalote-crue,72,16.8,2.5,0.1
echalotes-sechees,348,80.7,12.3,0.5
endive,17,3.35,1.25,0.2
epinard-cru,23,3.63,2.86,0.39
epinard-cuit,23,3.75,2.97,0.26
epinards-de-nouvelle-zelande-crus,14,2.5,1.5,0.2
epinards-de-nouvelle-zelande-cuits,12,2.13,1.3,0.17
fenouil,31,7.3,1.24,0.2
feuilles-de-chicoree,23,4.7,1.7,0.3
feuilles-de-citrouille-crues,19,2.33,3.15,0.4
feuilles-de-citrouille-cuites,21,3.39,2.72,0.22
feuilles-de-moringa-cuites,60,11.15,5.27,0.93
feuilles-de-moringa-fraiches,64,8.28,9.4,1.4
feuilles-de-patate-douce-crues,42,8.82,2.49,0.51
feuilles-de-patate-douce-cuites,35,7.38,2.18,0.34
feuilles-de-taro-crues,42,6.7,4.98,0.74
feuilles-de-vigne,93,17.31,5.6,2.12
fleur-de-sesbania-crue,27,6.73,1.28,0.04
fleur-de-sesbania-cuite,21,5.1,1.14,0.05
fleurs-de-citrouille-crues,15,3.28,1.03,0.07
fleurs-de-citrouille-cuites,15,3.3,1.09,0.08
germes-de-haricot-blanc-crues,67,13.05,6.15,0.7
gombo,33,7.45,1.93,0.19
gombo-cuit,22,4.51,1.87,0.21
gourde-crue,20,4.35,1.2,0.2
gourde-cuite,54,13.75,0.66,0.34
graines-de-moutarde-crues,27,4.67,2.86,0.42
graines-de-moutarde-cuites,26,4.51,2.56,0.47
graines-de-radis-germees,43,3.6,3.81,2.53
grande-ortie,42,7.49,2.71,0.11
igname-de-chine-cru,67,16.3,1.34,0.1
igname-de-chine-cuit,82,19.99,1.73,0.08
jute-cru,34,5.8,4.65,0.25
jute-cuit,37,7.29,3.68,0.2
kanpy-seche,258,65.03,8.58,0.56
laitue-romaine-15937,17,3.29,1.23,0.3
laitue-rouge,16,2.26,1.33,0.22
lentilles-germees,106,22.14,8.96,0.55
liserons-deau,20,3.71,2.08,0.24
mais-blanc-cru,365,74.26,9.42,4.74
mais-blanc-cuit,97,21.71,3.34,1.41
mais-doux-blanc,86,19.02,3.22,1.18
mais-doux-jaune,79,19.44,2.41,0.5
mais-jaune-cru,365,74.26,9.42,4.74
mais-cru,86,18.7,3.27,1.35
